iter	MultiClass
0	5.163376456
1	5.111341257
2	5.050545007
3	5.000375951
4	4.949444957
5	4.901552214
6	4.858476174
7	4.817928742
8	4.767663138
9	4.727809824
10	4.688844909
11	4.649316495
12	4.60469321
13	4.561846506
14	4.521826101
15	4.483778871
16	4.442336465
17	4.40923174
18	4.37442069
19	4.333261087
20	4.298543995
21	4.265140466
22	4.232553092
23	4.201016047
24	4.168765265
25	4.137201691
26	4.109040439
27	4.078229679
28	4.049173974
29	4.016325549
30	3.985766449
31	3.95631511
32	3.926670945
33	3.898749659
34	3.868578543
35	3.84101195
36	3.814199166
37	3.788740788
38	3.762674166
39	3.738457585
40	3.713848748
41	3.686897267
42	3.66636176
43	3.64188208
44	3.615942889
45	3.59341811
46	3.572225878
47	3.549265175
48	3.525753914
49	3.503328679
50	3.48120473
51	3.458601126
52	3.437550667
53	3.414344438
54	3.39429349
55	3.378251999
56	3.358489183
57	3.337531076
58	3.317758724
59	3.29684655
60	3.275908443
61	3.255269788
62	3.23650941
63	3.218681663
64	3.198818029
65	3.181962462
66	3.160760363
67	3.141602914
68	3.122958715
69	3.103384396
70	3.085216062
71	3.067499499
72	3.048412985
73	3.033324927
74	3.017034365
75	3.000563288
76	2.983254446
77	2.967141858
78	2.949603347
79	2.932648312
80	2.917537929
81	2.900293677
82	2.885107394
83	2.868601375
84	2.853225228
85	2.83698162
86	2.819643448
87	2.803694884
88	2.786250483
89	2.770139292
90	2.75360799
91	2.736932564
92	2.721056616
93	2.707936722
94	2.695012431
95	2.681074563
96	2.666928263
97	2.651114638
98	2.635939588
99	2.622020879
100	2.609731249
101	2.595648053
102	2.581228441
103	2.571039476
104	2.561125414
105	2.549187182
106	2.535398724
107	2.524113512
108	2.514256464
109	2.503420501
110	2.495350766
111	2.488309883
112	2.47774372
113	2.468239359
114	2.453955462
115	2.441247164
116	2.428564702
117	2.417360557
118	2.409454448
119	2.398301248
120	2.387094485
121	2.37672172
122	2.363198196
123	2.351925925
124	2.342431581
125	2.32985806
126	2.318049735
127	2.309131113
128	2.302926351
129	2.292608484
130	2.285651463
131	2.273776253
132	2.267701515
133	2.256557129
134	2.247024797
135	2.238214902
136	2.229690637
137	2.221176202
138	2.213782181
139	2.203832586
140	2.194135115
141	2.187534589
142	2.180599779
143	2.171707387
144	2.160011193
145	2.150800017
146	2.142599239
147	2.130104478
148	2.119354472
149	2.111957549
150	2.102486774
151	2.094260443
152	2.083857433
153	2.074168818
154	2.065071838
155	2.056416424
156	2.045777482
