iter	MultiClass
157	2.035453142
158	2.025491732
159	2.017686593
160	2.013640247
161	2.007282367
162	1.998746825
163	1.989110663
164	1.981874459
165	1.978750499
166	1.969336458
167	1.964172226
168	1.954842397
169	1.946283916
170	1.94027835
171	1.930416668
172	1.921823241
173	1.913770945
174	1.907087137
175	1.899888132
176	1.892014522
177	1.883105721
178	1.87658946
179	1.868133946
180	1.861368091
181	1.855858644
182	1.846161744
183	1.839388812
184	1.832488662
185	1.825121184
186	1.816861703
187	1.809546201
188	1.799824022
189	1.793324459
190	1.786729382
191	1.779643918
192	1.773892364
193	1.766867932
194	1.759668774
195	1.754335259
196	1.748799838
197	1.740937486
198	1.735479806
199	1.72762016
200	1.71935912
201	1.713252475
202	1.706658707
203	1.699702854
204	1.692475619
205	1.685681406
206	1.679011209
207	1.674160959
208	1.669406636
209	1.660585117
210	1.653201709
211	1.647080668
212	1.638288535
213	1.631663661
214	1.624757624
215	1.617774003
216	1.613219572
217	1.607338812
218	1.600981526
219	1.596318478
220	1.592377004
221	1.584139748
222	1.5792598
223	1.571691074
224	1.564073648
225	1.556952686
226	1.551173408
227	1.54756729
228	1.541240206
229	1.535217543
230	1.527370192
231	1.521499124
232	1.519421149
233	1.512837355
234	1.506582043
235	1.50178609
236	1.495564742
237	1.491213091
238	1.487863719
239	1.481500734
240	1.474305212
241	1.468710761
242	1.462047767
243	1.457621228
244	1.454866602
245	1.449319448
246	1.444719313
247	1.438513232
248	1.435638221
249	1.428407986
250	1.421295129
251	1.415317552
252	1.408302942
253	1.404602758
254	1.400026953
255	1.392689173
256	1.388822699
257	1.382816036
258	1.376797495
259	1.370977785
260	1.365009478
261	1.359559201
262	1.353234399
263	1.347087695
264	1.34213028
265	1.335280965
266	1.33143232
267	1.325754592
268	1.318724776
269	1.314606428
270	1.310744659
271	1.305677759
272	1.301468451
273	1.297761737
274	1.294686203
275	1.289436609
276	1.284455026
277	1.281340037
278	1.277245829
279	1.273480435
280	1.269501116
281	1.265142598
282	1.260872292
283	1.255141179
284	1.25212358
285	1.247183565
286	1.24432596
287	1.238945391
288	1.233538173
289	1.228748928
290	1.225711021
291	1.221419612
292	1.215845697
293	1.210745203
294	1.206929895
295	1.203836558
296	1.198559923
297	1.193478709
298	1.189400437
299	1.185113297
300	1.179719144
301	1.175967261
302	1.17256523
303	1.170878192
304	1.16739359
305	1.162316352
306	1.158317154
307	1.155050312
308	1.151994718
309	1.146872144
310	1.140692586
311	1.137689382
312	1.131822434
313	1.127373384
314	1.124608532
315	1.120631336
316	1.115309602
317	1.111268344
318	1.107659942
319	1.103670001
320	1.098250449
321	1.093519651
322	1.090196321
323	1.086428455
324	1.081010628
325	1.075893338
326	1.073469336
327	1.067717797
328	1.063826999
329	1.059183389
330	1.055717153
331	1.051814068
332	1.047065662
333	1.044358436
334	1.040549099
335	1.036230028
336	1.032886656
337	1.029661864
338	1.026300266
339	1.022109169
340	1.017983813
341	1.014688921
342	1.009992949
343	1.007119666
344	1.004391528
345	1.000537592
346	0.9974732069
347	0.9937691358
348	0.9890427303
349	0.9853631084
350	0.9828267256
351	0.9796890171
352	0.977244078
353	0.9743852631
354	0.9709309306
355	0.9674968211
356	0.9640927208
357	0.9594862587
358	0.9573497196
359	0.9552310332
360	0.9531632625
361	0.9505946381
362	0.9478811854
363	0.945672117
364	0.9412185669
365	0.9382843256
366	0.9352318746
367	0.9313116388
368	0.9269890868
369	0.9255223667
370	0.9229663906
371	0.9193847491
372	0.9172229767
373	0.9126165918
374	0.9102663613
375	0.907770358
376	0.9056577195
377	0.9020821259
378	0.898653651
379	0.8955985214
380	0.8934091319
381	0.8899776254
382	0.8871973147
383	0.8844706982
384	0.8815970764
385	0.8788795562
386	0.8754408453
387	0.8718466818
388	0.8683152901
389	0.8658955432
390	0.8638992434
391	0.8610996763
392	0.8570771588
393	0.8534218297
394	0.8500094912
395	0.8471586196
396	0.8436696995
397	0.8397255052
398	0.8365282098
399	0.8334801071
400	0.8307425681
401	0.8282816001
402	0.8260598296
403	0.8240855879
404	0.8224053475
405	0.8203381488
406	0.8166911267
407	0.8149497734
408	0.8127183117
409	0.8108399949
410	0.8092958739
411	0.8074353685
412	0.8046004978
413	0.8021711182
414	0.7998945612
415	0.7969081006
416	0.7938242727
417	0.7911890211
418	0.7877716758
419	0.7853121828
420	0.7831286782
421	0.781009805
422	0.778132555
423	0.7742697379
424	0.7705290365
425	0.767717083
426	0.7662357227
427	0.7628785757
428	0.7597097905
429	0.7576848215
430	0.7555613275
431	0.7527190082
432	0.7503411371
433	0.7480872894
434	0.7455792794
435	0.7441467488
436	0.7415383334
437	0.7384470899
438	0.7358667493
439	0.7333566427
440	0.7306413641
441	0.7283499266
442	0.7261850531
443	0.7235832705
444	0.7221663909
445	0.7203551649
446	0.7191698693
447	0.7180160882
448	0.715641571
449	0.7136067687
450	0.7113311518
451	0.7092384468
452	0.707290596
453	0.7043003883
454	0.7015426363
455	0.6983071058
456	0.6956294687
457	0.6923573612
458	0.6899664873
459	0.6877354935
460	0.6857033235
461	0.6832712515
462	0.681194191
463	0.678940334
464	0.6770080009
465	0.6749726511
466	0.6727232113
467	0.6707663066
468	0.6677866739
469	0.6651151669
470	0.6622566268
471	0.6601604025
472	0.6573611851
473	0.6554120759
474	0.6530206633
475	0.6515999236
476	0.6490308834
477	0.6472536105
478	0.6447384905
479	0.6435790998
480	0.642013721
481	0.6403214656
482	0.6381932689
483	0.636331784
484	0.6335363197
485	0.6314762539
486	0.6303418395
487	0.6283475573
488	0.6265649524
489	0.6243772898
490	0.6226527493
491	0.6210517825
492	0.6189909252
493	0.6173515608
494	0.615701397
495	0.6139280011
496	0.6125069674
497	0.6105061255
498	0.6084348344
499	0.6058714745
500	0.6037059231
501	0.6020173675
502	0.6000327204
503	0.5989125931
504	0.5968278147
505	0.5950188274
506	0.5936802409
507	0.59203456
508	0.5906307237
509	0.5883606893
510	0.5862810176
511	0.5841403585
512	0.5827384601
513	0.5818177681
514	0.5794677704
515	0.5777465938
516	0.5758119106
517	0.5740729432
518	0.5722494181
519	0.5699080292
520	0.5684886089
521	0.5666279507
522	0.5645255284
523	0.5627209643
524	0.5613365441
525	0.5598987756
526	0.5582393052
527	0.5566672862
528	0.555472364
529	0.5539238468
530	0.5526233194
531	0.5510859949
532	0.5491404771
533	0.5473231513
534	0.5457846924
535	0.5445427258
536	0.5425426546
537	0.5415442564
538	0.5408550706
539	0.5397305163
540	0.5383374519
541	0.5364767618
542	0.5350277488
543	0.5334483015
544	0.5318123995
545	0.5302477942
546	0.5288730379
547	0.527640585
548	0.5260356712
549	0.5249985283
550	0.5238586522
551	0.5221821629
552	0.5205453656
553	0.5190738955
554	0.5182510669
555	0.5168919281
556	0.5155947828
557	0.5141885901
558	0.5130952076
559	0.5120101303
560	0.5106100828
561	0.5089107045
562	0.5079013909
563	0.5067904676
564	0.5051675101
565	0.504493073
566	0.5029394341
567	0.5016924677
568	0.500340896
569	0.4992641227
570	0.4982505295
571	0.4965052232
572	0.4947123896
573	0.4938174542
574	0.491939463
575	0.4907526786
576	0.4887451009
577	0.4878841341
578	0.4864197092
579	0.4852957658
580	0.4838670622
581	0.4826091128
582	0.4815607919
583	0.4804495903
584	0.479303164
585	0.4783254131
586	0.4770911662
587	0.4757097816
588	0.47475435
589	0.4738691472
590	0.4727142125
591	0.4709395673
592	0.4692627394
593	0.4677262216
594	0.4663480722
595	0.4651363474
596	0.4637810362
597	0.4626828744
598	0.4616409664
599	0.4608327014
600	0.4591731752
601	0.4577463188
602	0.4570809928
603	0.4557805308
604	0.4545848188
605	0.453787111
606	0.4528055174
607	0.4519572554
608	0.4509352657
609	0.4496713835
610	0.4488398353
611	0.4478278809
612	0.446748711
613	0.4457511656
614	0.4448057946
615	0.4436653011
616	0.4426194008
617	0.4414094335
618	0.4400326162
619	0.4389254863
620	0.4377508273
621	0.4365470726
622	0.4352118959
623	0.4340545268
624	0.4330966897
625	0.4315038985
626	0.4305784726
627	0.4291380592
628	0.4280044753
629	0.4266413119
630	0.4255551745
631	0.4240926654
632	0.4228721504
633	0.4220609431
634	0.4210156344
635	0.4196364894
636	0.4186689282
637	0.4178713067
638	0.4165772493
639	0.41566113
640	0.4145018507
641	0.4133141553
642	0.412158462
643	0.411112973
644	0.4106636109
645	0.4095741635
646	0.4084721548
647	0.4076922922
648	0.4068310192
649	0.4060903256
650	0.4050564539
651	0.4040944856
652	0.4031982488
653	0.4022387929
654	0.4015653884
655	0.4002111916
656	0.399365616
657	0.398723029
658	0.3976703956
659	0.3966818094
660	0.3956142362
661	0.3947705367
662	0.3937711808
663	0.392664766
664	0.3914990236
665	0.3904870342
666	0.3895667709
667	0.3886135758
668	0.3876592146
669	0.3872210145
670	0.3864811119
671	0.3855896165
672	0.3847411035
673	0.383761756
674	0.3829929005
675	0.3817215698
676	0.380993023
677	0.3801587669
678	0.3794616956
679	0.3783703547
680	0.3777409049
681	0.376836208
682	0.3759113605
683	0.3751484494
684	0.3742232521
685	0.3730755784
686	0.3723447974
687	0.3714392604
688	0.3709159474
689	0.369711394
690	0.3688272258
691	0.3677477022
692	0.3668567554
693	0.3659422178
694	0.3653555784
695	0.3649037353
696	0.3637135639
697	0.3631477807
698	0.3620687704
699	0.3614352652
700	0.3604024674
701	0.3598388792
702	0.3590380132
703	0.3581728551
704	0.3577626829
705	0.3572163831
706	0.3565169809
707	0.3558483234
708	0.3549809564
709	0.3541280393
710	0.3535535894
711	0.3527332038
712	0.3521014488
713	0.3517032478
714	0.3509243391
715	0.35016736
716	0.3494269287
717	0.3487357035
718	0.3478300241
719	0.3467870674
720	0.3461428359
721	0.3451801703
722	0.3443559344
723	0.3434227676
724	0.3425119493
725	0.3417144398
726	0.3412124064
727	0.3407770854
728	0.3400085018
729	0.3390929058
730	0.3383354136
731	0.3375490879
732	0.3367610284
733	0.336016418
734	0.3352290212
735	0.3343632671
736	0.3334338831
737	0.332603394
738	0.3314316194
739	0.3305447883
740	0.3300166237
741	0.3293026204
742	0.3288831179
743	0.3281957679
744	0.327437182
745	0.3269463964
746	0.3263597887
747	0.3257113789
748	0.3250629549
749	0.3246086747
750	0.3241942453
751	0.3236033168
752	0.3229478437
753	0.3223857046
754	0.321456471
755	0.3209511212
756	0.3201782182
757	0.319635494
758	0.3190471726
759	0.3183443886
760	0.3177982992
761	0.3171413596
762	0.3165914912
763	0.316259291
764	0.3155467267
765	0.3149609701
766	0.3147304041
767	0.314052114
768	0.31335281
769	0.3127268707
770	0.3121003504
771	0.3113764218
772	0.3110111004
773	0.3101662326
774	0.3094245342
775	0.3088542562
776	0.3086112781
777	0.3080027655
778	0.3073727269
779	0.3064934759
780	0.3056051768
781	0.3051514364
782	0.3048037374
783	0.3041524265
784	0.3033002828
785	0.3025481155
786	0.30204193
787	0.3013454166
788	0.300498513
789	0.2999712514
790	0.2993825932
791	0.2989853858
792	0.2985406334
793	0.2979764679
794	0.2972321976
795	0.2968084321
796	0.2964247947
797	0.2961356372
798	0.2954001249
799	0.2947667982
800	0.2939064915
801	0.2933219794
802	0.292660439
803	0.2921056297
804	0.291642907
805	0.2910609772
806	0.290489418
807	0.2898285907
808	0.2892174364
809	0.288539116
810	0.2879034918
811	0.2876282626
812	0.2871163326
813	0.2865279123
814	0.285987843
815	0.2853646897
816	0.2849095839
817	0.284454921
818	0.2839020383
819	0.2833311314
820	0.2828013565
821	0.2821453788
822	0.2819064784
823	0.281163494
824	0.2804622606
825	0.2799580587
826	0.2795005066
827	0.2790436834
828	0.2784324093
829	0.2778698962
830	0.2774829146
831	0.2769096194
832	0.2764809094
833	0.2757478156
834	0.275338155
835	0.2747960771
836	0.2743450623
837	0.2739479125
838	0.2733372953
839	0.272734995
840	0.2721030757
841	0.2718253237
842	0.2712096492
843	0.2707916188
844	0.2702056431
845	0.269833754
846	0.2693354094
847	0.2688425711
848	0.2683921141
849	0.267937116
850	0.2675171062
851	0.2669085967
852	0.2665504548
853	0.265877407
854	0.2656550202
855	0.265241806
856	0.264737125
857	0.2642059641
858	0.2637752566
859	0.2631360722
860	0.2627907485
861	0.2622852041
862	0.2619362355
863	0.2612764857
864	0.2608100202
865	0.2603023605
866	0.2597310794
867	0.2591868426
868	0.2587314087
869	0.2582408393
870	0.2578195571
871	0.2574128088
872	0.2567331664
873	0.2563143635
874	0.2558054056
875	0.2554112481
876	0.2548022387
877	0.2544004995
878	0.2539033587
879	0.2534784778
880	0.2529180458
881	0.2525680603
882	0.2522507758
883	0.2517288342
884	0.2512697865
885	0.2508802257
886	0.2503249426
887	0.2497878048
888	0.2492714011
889	0.248940995
890	0.2485236653
891	0.2480190942
892	0.2474849674
893	0.2469918582
894	0.246646136
895	0.2464080223
896	0.2458776762
897	0.2453620023
898	0.2450303833
899	0.2444883955
900	0.2440633262
901	0.2437558016
902	0.2433532141
903	0.2429021795
904	0.2424307491
905	0.2418647429
906	0.2414185742
907	0.2411463707
908	0.2407721737
909	0.2404438568
910	0.2399102468
911	0.2393878714
912	0.2390657913
913	0.2386426678
914	0.2382132396
915	0.2378600225
916	0.2376138773
917	0.2372286878
918	0.2367453236
919	0.2363409181
920	0.2359083915
921	0.2356742197
922	0.2351175412
923	0.2347111991
924	0.234291726
925	0.2338320957
926	0.2333043811
927	0.2328803602
928	0.2324855377
929	0.2322133587
930	0.2317559319
931	0.231280593
932	0.230921898
933	0.2305528138
934	0.2301832763
935	0.229797676
936	0.2293305211
937	0.2290155105
938	0.2286636883
939	0.2282785999
940	0.227813139
941	0.2273112733
942	0.2268688331
943	0.2265365962
944	0.2260799174
945	0.225575359
946	0.2252206321
947	0.2248670162
948	0.2245565444
949	0.2240928838
950	0.2237615787
951	0.2232891518
952	0.2230255545
953	0.2227071051
954	0.2223364372
955	0.2219626897
956	0.221648824
957	0.2213792329
958	0.2210588577
959	0.2206824335
960	0.2202882808
961	0.2198846699
962	0.2194179216
963	0.2192383788
964	0.2188569242
965	0.2183645124
966	0.2179663428
967	0.2176675666
968	0.2174075261
969	0.217055827
970	0.216618069
971	0.21631413
972	0.2159428511
973	0.2154995699
974	0.2150993265
975	0.214686524
976	0.2143948883
977	0.2141148458
978	0.2137962282
979	0.2134811753
980	0.2131825687
981	0.2128679608
982	0.2124675292
983	0.2121926307
984	0.2118116591
985	0.2115463681
986	0.2112367577
987	0.2108026491
