iter	Passed	Remaining
398	116203	175033
399	116492	174738
400	116847	174542
401	117125	174231
402	117412	173933
403	117690	173623
404	118119	173533
405	118522	173404
406	118881	173210
407	119210	172972
408	119634	172870
409	119950	172611
410	120259	172342
411	120579	172089
412	120879	171807
413	121168	171509
414	121451	171202
415	121759	170930
416	122055	170643
417	122363	170372
418	122723	170173
419	123050	169926
420	123332	169619
421	123645	169353
422	123993	169135
423	124376	168963
424	124853	168919
425	125204	168702
426	125497	168407
427	125816	168146
428	126229	168011
429	126571	167780
430	126856	167473
431	127150	167179
432	127450	166892
433	127756	166612
434	128067	166340
435	128360	166043
436	128660	165756
437	128985	165501
438	129277	165204
439	129738	165122
440	130073	164878
441	130365	164579
442	130697	164331
443	131444	164601
444	131855	164448
445	132236	164258
446	132652	164109
447	133028	163909
448	133369	163667
449	133696	163406
450	134042	163168
451	134361	162898
452	134686	162634
453	135006	162364
454	135355	162128
455	135678	161862
456	136026	161624
457	136365	161376
458	136698	161119
459	137040	160873
460	137358	160599
461	137683	160333
462	137992	160047
463	138335	159801
464	138654	159527
465	138959	159236
466	139295	158981
467	139644	158741
468	139981	158486
469	140314	158226
470	140662	157983
471	141005	157735
472	141347	157484
473	141662	157203
474	141981	156926
475	142288	156637
476	142626	156381
477	142941	156099
478	143298	155863
479	143594	155560
480	143902	155270
481	144235	155008
482	144574	154751
483	144873	154452
484	145223	154206
485	145570	153957
486	145906	153696
487	146222	153414
488	146565	153159
489	146875	152870
490	147244	152642
491	147578	152377
492	147908	152108
493	148224	151824
494	148585	151587
495	149007	151411
496	149331	151134
497	149660	150862
498	149972	150573
499	150352	150352
500	150785	150183
501	151169	149965
502	151586	149778
503	151917	149505
504	152243	149228
505	152571	148952
506	152902	148680
507	153212	148386
508	153531	148101
509	153855	147821
510	154200	147562
511	154536	147292
512	154847	146999
513	155131	146680
514	155476	146419
515	155837	146172
516	156232	145957
517	156578	145696
518	156875	145389
519	157230	145135
520	157582	144878
521	157917	144606
522	158329	144403
523	158707	144169
524	159026	143880
525	159349	143596
526	159693	143330
527	160010	143039
528	160397	142811
529	160777	142576
530	161081	142273
531	161405	141987
532	161778	141745
533	162091	141450
534	162420	141169
535	162813	140942
536	163154	140671
537	163455	140364
538	163760	140062
539	164058	139753
540	164412	139492
541	164776	139238
542	165089	138943
543	165404	138648
544	165721	138354
545	166031	138055
546	166342	137757
547	166650	137456
548	166974	137168
549	167262	136851
550	167607	136580
551	167927	136288
552	168257	136005
553	168583	135719
554	168900	135425
555	169247	135154
556	169584	134875
557	169898	134579
558	170218	134287
559	170571	134020
560	170901	133735
561	171276	133485
562	171592	133190
563	171902	132889
564	172225	132598
565	172566	132321
566	172916	132050
567	173235	131756
568	173567	131471
569	173870	131165
570	174194	130874
571	174523	130587
572	174862	130307
573	175201	130027
574	175555	129758
575	175881	129468
576	176258	129215
577	176617	128949
578	176933	128651
579	177233	128341
580	177582	128067
581	177895	127766
582	178209	127467
583	178529	127171
584	178843	126871
585	179171	126582
586	179528	126312
587	179948	126086
588	180338	125838
589	180663	125545
590	181009	125267
591	181414	125029
592	181760	124749
593	182097	124463
594	182437	124179
595	182779	123897
596	183113	123608
597	183460	123329
598	183778	123030
599	184089	122726
600	184496	122486
601	184882	122231
602	185056	121836
603	185383	121543
604	185711	121249
605	186055	120966
606	186371	120665
607	186717	120383
608	187073	120107
609	187450	119845
610	187799	119564
611	188168	119296
612	188516	119014
613	188850	118723
614	189212	118449
615	189564	118170
616	189918	117891
617	190251	117598
618	190633	117336
619	190935	117025
620	191266	116731
621	191650	116469
622	191956	116159
623	192278	115860
624	192615	115569
625	192935	115268
626	193272	114976
627	193613	114687
628	193953	114398
629	194301	114113
630	194698	113856
631	195023	113557
632	195350	113259
633	195668	112957
634	195992	112657
635	196314	112356
636	196630	112051
637	196940	111743
638	197294	111460
639	197618	111160
640	197942	110860
641	198253	110552
642	198615	110273
643	198909	109956
644	199214	109645
645	199595	109375
646	199928	109080
647	200228	108765
648	200551	108464
649	200854	108152
650	201208	107867
651	201523	107561
652	201859	107266
653	202150	106948
654	202491	106655
655	202920	106409
656	203263	106117
657	203594	105819
658	203914	105515
659	204236	105212
660	204569	104915
661	204886	104609
662	205203	104304
663	205540	104008
664	205858	103703
665	206209	103414
666	206537	103113
667	206851	102806
668	207191	102511
669	207512	102207
670	207819	101896
671	208148	101596
672	208460	101287
673	208814	100999
674	209185	100718
675	209582	100450
676	209926	100156
677	210283	99869
678	210669	99594
679	211023	99305
680	211392	99022
681	211735	98726
682	212085	98435
683	212456	98152
684	212815	97864
685	213202	97588
686	213561	97299
687	213936	97017
688	214262	96713
689	214640	96432
690	215005	96145
691	215382	95864
692	215738	95572
693	216073	95271
694	216393	94964
695	216769	94680
696	217131	94391
697	217450	94083
698	217840	93805
699	218163	93498
700	218518	93205
701	218825	92891
702	219182	92599
703	219519	92297
704	219841	91990
705	220167	91684
706	220484	91374
707	220796	91063
708	221109	90751
709	221446	90450
710	221752	90135
711	222067	89825
712	222391	89517
713	222730	89217
714	223029	88899
715	223376	88601
716	223695	88292
717	224022	87986
718	224351	87681
719	224813	87427
720	225112	87110
721	225435	86802
722	225766	86496
723	226082	86186
724	226412	85880
725	226757	85580
726	227053	85262
727	227378	84954
728	227691	84642
729	228022	84336
730	228319	84019
731	228656	83715
732	228955	83398
733	229299	83097
734	229733	82829
735	230050	82517
736	230381	82212
737	230723	81909
738	231069	81609
739	231401	81303
740	231718	80992
741	232012	80672
742	232327	80360
743	232668	80057
744	232980	79745
745	233303	79435
746	233627	79127
747	233922	78808
748	234230	78493
749	234580	78193
750	234875	77874
751	235204	77567
752	235533	77259
753	235872	76955
754	236203	76648
755	236568	76352
756	236914	76050
757	237307	75762
758	237644	75457
759	237948	75141
760	238250	74825
761	238613	74527
762	238902	74206
763	239246	73903
764	239576	73595
765	239908	73287
766	240205	72969
767	240556	72668
768	240859	72351
769	241185	72042
770	241546	71743
771	241866	71432
772	242176	71117
773	242530	70816
774	242832	70499
775	243157	70189
776	243443	69868
777	243783	69562
778	244080	69244
779	244455	68949
780	244799	68644
781	245101	68327
782	245425	68016
783	245757	67708
784	246104	67404
785	246413	67089
786	246756	66784
787	247059	66467
788	247398	66161
789	247713	65847
790	248038	65537
791	248352	65223
792	248668	64911
793	248962	64592
794	249329	64292
795	249673	63986
796	249970	63668
797	250271	63351
798	250616	63046
799	250938	62734
800	251278	62427
801	251623	62121
802	251960	61813
803	252274	61499
804	252603	61189
805	252927	60878
806	253336	60587
807	253816	60312
808	254138	60000
809	254499	59697
810	254854	59392
811	255156	59075
812	255484	58764
813	255787	58447
814	256128	58139
815	256437	57824
816	256765	57513
817	257068	57196
818	257404	56886
819	257736	56576
820	258065	56265
821	258379	55950
822	258700	55637
823	259030	55326
824	259384	55020
825	259703	54707
826	260017	54393
827	260353	54083
828	260701	53775
829	261001	53458
830	261330	53146
831	261671	52837
832	261981	52522
833	262320	52212
834	262646	51900
835	262964	51586
836	263308	51277
837	263639	50966
838	263939	50648
839	264287	50340
840	264634	50031
841	264938	49715
842	265266	49403
843	265589	49090
844	265919	48778
845	266255	48467
846	266572	48153
847	266885	47837
848	267223	47527
849	267570	47218
850	267874	46901
851	268201	46589
852	268517	46274
853	268859	45964
854	269178	45650
855	269521	45340
856	269823	45023
857	270168	44713
858	270484	44398
859	270822	44087
860	271124	43770
861	271474	43461
862	271770	43143
863	272116	42833
864	272419	42516
865	272770	42207
866	273102	41894
867	273424	41580
868	273754	41267
869	274101	40957
870	274459	40648
871	274789	40336
872	275114	40022
873	275425	39706
874	275750	39392
875	276074	39079
876	276423	38768
877	276758	38456
878	277068	38140
879	277398	37827
880	277731	37514
881	278067	37201
882	278372	36885
883	278719	36574
884	279050	36260
885	279379	35947
886	279708	35633
887	280033	35319
888	280380	35008
889	280749	34699
890	281138	34392
891	281479	34080
892	281818	33767
893	282130	33451
894	282439	33135
895	282748	32819
896	283101	32507
897	283419	32192
898	283742	31877
899	284072	31563
900	284436	31253
901	284766	30939
902	285060	30621
903	285392	30307
904	285722	29992
905	286067	29680
906	286386	29364
907	286714	29050
908	287013	28732
909	287354	28419
910	287677	28104
911	288010	27790
912	288339	27475
913	288656	27160
914	289023	26849
915	289357	26534
916	289671	26218
917	289979	25902
918	290314	25588
919	290641	25273
920	290951	24956
921	291253	24639
922	291600	24326
923	291930	24011
924	292259	23696
925	292697	23390
926	293049	23077
927	293362	22760
928	293691	22445
929	294013	22130
930	294352	21815
931	294703	21501
932	295018	21185
933	295341	20869
934	295659	20553
935	295981	20238
936	296303	19922
937	296645	19607
938	297010	19294
939	297345	18979
940	297683	18664
941	298001	18348
942	298337	18033
943	298645	17716
944	299006	17402
945	299354	17087
946	299658	16770
947	299972	16454
948	300299	16138
949	300657	15824
950	300983	15508
951	301336	15193
952	301650	14876
953	301954	14559
954	302280	14243
955	302599	13927
956	302901	13610
957	303205	13292
958	303559	12978
959	303862	12660
960	304276	12348
961	304660	12034
962	304994	11718
963	305290	11400
964	305629	11085
965	305972	10769
966	306300	10452
967	306615	10136
968	307007	9821
969	307516	9510
970	307916	9196
971	308233	8879
972	308572	8562
973	308916	8246
974	309288	7930
975	309625	7613
976	309942	7296
977	310291	6979
978	310612	6662
979	310909	6345
980	311219	6027
981	311600	5711
982	311918	5394
983	312246	5077
984	312589	4760
985	312923	4443
986	313237	4125
987	313588	3808
